Module name,Module size,Number of CN,Number of RN,Number of axioms
InferiorTricuspidPapillaryMuscle,6134,5813,316,30232
HandMuscleWastingLesion,6175,5852,318,30392
LigamentOfAstleyCooper,6134,5813,316,30232
LifeStyleRole,11,7,0,20
RouteToPelvicStructure,6244,5923,316,30676
third,7,3,0,8
VaginalDischarge,6155,5834,316,30323
Skull,6134,5813,316,30232
GeometricShape,65,30,30,161
Cholestasis,6267,5934,328,30776
Heart,6134,5813,316,30232
ReducedBoneMass,6161,5830,326,30318
HypogastricPlexus,6135,5814,316,30235
BrainArea,6134,5813,316,30232
MaleGenitoUrinarySymptom,6134,5813,316,30232
Olanzapine,41,23,14,95
contracted,18,13,0,40
ArginineVasopressin,6160,5839,316,30333
Exanthema,6183,5860,318,30425
ComponentOfFemaleExternalGenitalia,6134,5813,316,30232
CanthusOfEye,6134,5813,316,30232
PharyngealDivisonOfTrigeminalNerve,6135,5814,316,30236
ProxymetacaineHydrochloride,41,23,14,95
SocialPhobia,163,100,58,449
LeftSuprarenalVein,6134,5813,316,30232
CromoglycateGroup,31,17,10,70
Limnatis,122,77,40,370
TurpentineOil,41,23,14,95
NAMEDImmunologicalProcess,53,26,22,125
Space,67,32,30,169
Anger,148,91,52,410
OverlappingOrNonOverlappingStatus,11,7,0,20
PeanutOil,90,45,40,229
LateralLigamentOfRectum,6135,5814,316,30237
DigitalNerveSupplyingPalmarAspectOfRadialBorderOfLittleFinger,6134,5813,316,30232
CocaineHydrochloride,42,24,14,98
FlexorMuscleOfForearm,6134,5813,316,30232
MaleOverFifty,129,80,44,358
KneeJointRecessus,6134,5813,316,30232
PlexusThyroideusImpar,6135,5814,316,30236
organModifiedRadical,19,15,0,45
ParanasalSinusRoute,6244,5923,316,30676
S2Dermatome,6134,5813,316,30232
nonionic,16,12,0,36
TannicAcid,41,23,14,95
JointOfLowerLimb,6134,5813,316,30232
Clorazepate,74,33,36,174
DeepInfraPatellarBursa,6134,5813,316,30232
FifthMetatarsal,6134,5813,316,30232
Empyema,163,92,66,464
InferiorNasalMeatus,6134,5813,316,30232
Mollusca,79,48,26,208
PreMenopausalFemale,128,79,44,354
MenstruallyLinkedPhenomenon,6200,5877,318,30512
LaminaOfThoracicVertebra,6134,5813,316,30232
Epiglottis,6134,5813,316,30232
Flurazepam,74,33,36,174
Orthoptera,80,49,26,213
FeatureIncreasing,13,8,0,24
OralNumbness,6206,5875,326,30514
AmmoniumAcetate,41,23,14,95
ClinicallyAsymptomatic,40,17,18,93
BNFSection6_3_1,60,31,24,150
Tiger,87,56,26,232
BNFSection6_3_2,60,31,24,150
BNFChapter6_4Section,64,35,24,169
ConceptManagementProcess,6135,5814,316,30235
BNFChapter9_6Section,65,36,24,175
RightUpperCanine,6134,5813,316,30232
VenousVaricosity,6201,5874,322,30487
ToleranceWithDiminishedEffect,16,11,0,34
StableHaemodynamics,6162,5835,322,30338
CellularSecretion,6134,5813,316,30232
HormoneAnalogueDrug,41,23,14,95
Bed,6150,5827,318,30304
gumDrugForm,17,13,0,39
SpinalNerve,6135,5814,316,30236
SulphonylureaGroup,31,17,10,70
Saksenaea,113,68,40,312
HeparinCalcium,45,27,14,108
Wheeze,6259,5938,316,30739
SurgicalReleasing,33,18,10,72
Anastrozole,77,36,36,186
PreperitonealApproach,6244,5923,316,30676
Enucleating,14,9,0,27
InwardRotation,19,14,0,45
BulimiaNervosa,6191,5856,330,30445
Prothrombin,33,18,10,73
MacrocyticAnaemia,6346,6007,334,31066
Cimex,81,50,26,216
Plutonium,34,20,10,79
SuperficialPetrosalNerve,6136,5815,316,30238
PeriapicalRegionOfTooth,6134,5813,316,30232
Colpopexy,6169,5846,318,30365
LifeOrDeathState,14,10,0,30
MiddleColicArtery,6134,5813,316,30232
Vomer,6134,5813,316,30232
Plasmodium,136,85,46,417
DistalPartOfHumerus,6134,5813,316,30232
Gliquidone,74,33,36,174
InositolNicotinate,41,23,14,95
SolidRemovingProcess,13,8,0,24
adviceInstructionStatus,12,8,0,23
Penicillin,42,24,14,98
forgotten,12,8,0,23
PenileErectileSymptom,6134,5813,316,30232
SubacuteFeature,40,17,18,93
PartOfSkinOfThorax,6134,5813,316,30232
SupraClavicularLymphnode,6134,5813,316,30232
VascularStructureOfThymusGland,6140,5819,316,30258
LateralMamillaryBodyNucleus,6137,5816,316,30244
Clioquinol,41,23,14,95
TransplantSurgery,16,12,0,36
Meiosis,80,39,36,204
brown,17,13,0,39
ElectroencephalographyDevice,6152,5829,318,30294
Allieviating,12,7,0,21
PharyngealPathology,6134,5813,316,30232
Areflexia,6245,5920,320,30679
AbnormallyLowPitchSpeechSymptom,230,139,86,677
ArthroscopicInstrumentation,6207,5878,324,30506
ConsolidationProcess,47,26,16,123
IndeterminateVentricle,6135,5814,316,30237
EEGTestResult,6227,5890,332,30583
Sulphadimidine,74,33,36,174
Ketoacidosis,6241,5908,328,30634
IntermediateHepaticArtery,6134,5813,316,30232
GestationalPhenomenon,300,189,106,916
TrigeminalNerve,6134,5813,316,30232
AluminiumOxide,76,35,36,190
IntestinalMuscle,6134,5813,316,30232
SkinOfVulva,6134,5813,316,30232
DryMouth,6164,5841,318,30351
Lymecycline,74,33,36,174
Volatility,13,9,0,27
DeepFemoralVein,6134,5813,316,30232
Aldesleukin,142,75,62,379
IxodesPilosus,125,80,40,381
DistalInterphalangealJoint,6134,5813,316,30232
Endoscope,98,51,42,262
ovoid,18,14,0,42
InferiorDentalPlexus,6135,5814,316,30235
PlastibellDevice,70,35,30,177
HumanChorionicGonadotrophinDrug,49,31,14,124
Isoniazid,41,23,14,95
AnteriorInferiorIliacSpine,6134,5813,316,30232
PlexusArteriaeChoroideae,6135,5814,316,30235
AnteriorCoronaryPlexus,6135,5814,316,30235
ElectrolyteDisturbance,6146,5821,320,30267
Transfusing,14,9,0,27
RectusFemorisMuscle,6134,5813,316,30232
StrongImmuneResponse,92,47,40,241
AlexitolSodium,42,24,14,98
InterMetatarsalSpace,6134,5813,316,30232
UpperLimbReflex,6228,5905,318,30610
CaesareanSection,73,40,28,197
Acromion,6134,5813,316,30232
RetroperitonealSpace,6134,5813,316,30232
AbdominalMuscle,6134,5813,316,30232
GemellusSuperior,6134,5813,316,30232
Glucosyleramide,34,20,10,78
LeftLateralFlexion,18,13,0,39
VideoRecordingProcess,13,8,0,24
cylindrical,18,14,0,42
DexamphetamineSulphate,41,23,14,95
WeaverRole,11,7,0,20
CholineHydrogenTartrate,41,23,14,95
AnatomyWithinThoracicCavity,6134,5813,316,30232
HaemoptysisSymptom,6138,5817,316,30247
CongenitallyDisplacedTricuspidValve,6274,5941,328,30803
SurfaceOfSalpinx,6134,5813,316,30232
NormalisingProcess,11,6,0,18
TopicalRoute,85,40,40,215
SynovialFootJoint,6134,5813,316,30232
VascularProsthesis,6134,5813,316,30232
LateralPreopticNucleus,6137,5816,316,30244
moreThan55Percent,19,15,0,44
ClostridiumBifermentans,198,109,84,560
ProximalNeckOfUlna,6134,5813,316,30232
PlexusVenosusVertebralisInternusPosterior,6137,5816,316,30242
MonsPubis,98,55,38,268
lessThanEight,16,12,0,35
PregnancyInducedHypertension,6157,5836,316,30327
SacroIliacLigament,6135,5814,316,30237
NeuroepithelialCell,6134,5813,316,30232
ImprovingProcess,13,8,0,24
ColdArmSymptom,6171,5842,324,30363
Ptosis,6265,5932,328,30764
CavityOfRightHeartVentricle,6134,5813,316,30232
PlexusVenosusUterinus,6135,5814,316,30236
SwabBasicDrugForm,61,26,30,143
IsosorbideMononitrate,74,33,36,174
AcneVulgaris,158,91,62,498
TearProduction,6134,5813,316,30232
InferiorVertebralNotch,6134,5813,316,30232
FacialArtery,6134,5813,316,30232
Hyphomycete,112,67,40,309
OralAndPharyngealMucosaRoute,6244,5923,316,30676
Displeasure,147,90,52,407
LimbicSystem,6134,5813,316,30232
RheumaticAdherentPericarditis,6287,5966,316,30850
Train,33,19,10,76
NerveToSubclavius,6135,5814,316,30236
Vertex,49,31,14,127
HaemorrhagicDiathesis,6136,5815,316,30239
AnteriorHypothalamus,6141,5820,316,30260
SuspensoryLigamentOfDuodenum,6135,5814,316,30235
SkinOfPlantarRegionOfFoot,6134,5813,316,30232
ParietoOccipitalSulcus,6135,5814,316,30235
ChlormethiazoleEdisylate,42,24,14,98
TendonOfExtensorDigitorum,6134,5813,316,30232
Oogenesis,6145,5824,316,30281
HollowStructure,66,31,30,165
EndCuttingShaver,44,25,14,103
CitricAcidAsDrug,42,24,14,99
known,12,8,0,23
SolidBasicDrugForm,59,24,30,136
DeepBranchOfSuperficialCervicalArtery,6134,5813,316,30232
MorphologyState,14,10,0,30
OcularDischargeSymptom,6155,5834,316,30323
ConstrictedPupilOfEye,6233,5906,322,30625
ArteryOfUpperExtremity,6134,5813,316,30232
Mianserin,41,23,14,95
FluocinoloneAcetonide,41,23,14,95
NecrotizingUlcerativePeriodontitis,6312,5991,316,30957
SymptomOfWeightGain,6170,5841,324,30370
S5Dermatome,6134,5813,316,30232
innerSelection,15,11,0,32
Irrigating,13,8,0,26
SolidPartOfLongBone,6134,5813,316,30232
CulicidaeCulex,82,51,26,221
OrganImpairment,136,81,50,400
AllergicInflammation,195,124,66,648
ComponentOfElbow,6134,5813,316,30232
MandibularFossa,6134,5813,316,30232
SulphurAsDrug,42,24,14,99
MaximumRole,10,6,0,17
DigitisingProcess,12,7,0,21
AscorbicAcid,41,23,14,95
laminar,17,13,0,39
ComponentOfCranialBone,6134,5813,316,30232
Rotablator,57,34,18,142
Potassium,41,23,14,96
CoherenceState,15,11,0,33
CranialNerve,6134,5813,316,30232
NAMEDAtrium,114,71,38,328
IntermediateCutaneousNerveOfThigh,6135,5814,316,30237
Fluocortolone,74,33,36,174
ComponentOfTibia,6134,5813,316,30232
Phialophora,114,69,40,315
VascularInvestigation,6189,5858,326,30448
DissectingAorticAneurysm,6177,5854,318,30398
ConjugatedOestrogen,86,45,36,219
Gingivitis,6263,5942,316,30757
IncreasedAppetite,49,28,16,134
RightGastroepiploicVein,6134,5813,316,30232
AnteriorSacralFascia,6137,5816,316,30244
EmbolismLesion,6144,5823,316,30275
Scratching,6135,5814,316,30235
EpidermisOfPerianalSkin,6136,5815,316,30240
Copper,34,20,10,79
VallateLingualPapilla,6134,5813,316,30232
Moonrat,85,54,26,226
VascularGraft,6171,5846,320,30368
Collecting,13,8,0,24
OcularJaundiceSymptom,6212,5881,326,30527
VeinOfLowerExtremity,6134,5813,316,30232
Tunicata,80,49,26,211
LocalImmuneResponse,83,42,36,210
BenignHepaticNeoplasia,6233,5906,322,30622
dry,15,11,0,33
Boy,128,79,44,354
CervicalRegionOfBack,6134,5813,316,30232
SmoothSurfaceOfPosteriorTooth,6167,5844,318,30380
Anthropoid,83,52,26,219
HistoplasmaCapsulatum,115,70,40,318
GluteusMedius,6134,5813,316,30232
Bethanidine,41,23,14,95
Hyperpituitarism,6202,5871,326,30495
ExcessiveAlcoholIntake,117,58,54,302
Paresis,72,37,30,191
Dichlorophen,41,23,14,95
SurgicalGrafting,34,19,10,75
Collection,9,5,0,15
BNFChapter4_3_1Section,64,35,24,169
SurgicalToileting,34,19,10,77
RheumaticHeartValveStenosisWithRegurgitation,281,182,94,908
WaterRetention,6147,5826,316,30295
Wall,77,36,36,192
HereditaryAcquisition,43,20,18,105
MedianNerve,6134,5813,316,30232
OphthalmicDivisionOfTrigeminalNerve,6134,5813,316,30232
VineyardSprayerRole,11,7,0,20
PathologicalHypoGlycaemia,6208,5877,326,30508
ChronicFeature,40,17,18,93
PeroneusMuscle,6134,5813,316,30232
GlycolSalicylate,73,32,36,170
GenitoUrinaryPain,6231,5910,316,30634
LaryngealMucousMembrane,6134,5813,316,30232
Pseudoephedrine,41,23,14,95
Kwashiorkor,6344,6003,336,31056
T4T5IntervertebralSpace,6134,5813,316,30232
SalivaryDuct,6134,5813,316,30232
MembranousUrethra,6134,5813,316,30232
Lanthanum,30,16,10,66
SubcutaneousOedema,6178,5857,316,30411
BodyPartTemperature,52,23,24,122
MycobacteriumKansasii,136,81,50,379
LevelOfConsciousness,158,95,58,438
Tract,83,44,34,220
OticGanglion,6134,5813,316,30232
NAMEDPharmacokineticProcess,14,9,0,27
LatamoxefDisodium,90,45,40,231
ComponentOfGastrointestinalTract,6134,5813,316,30232
LaryngealPathology,6134,5813,316,30232
Painting,14,9,0,27
ComponentOfAuricle,6134,5813,316,30232
Codeine,76,35,36,182
LightPressureCell,6141,5820,316,30259
Bra,33,19,10,76
EpididymoOrchitis,6263,5942,316,30757
StingingParaesthesia,6270,5943,322,30778
SuxamethoniumChloride,41,23,14,95
ParotidFascia,6134,5813,316,30232
RightEar,6134,5813,316,30232
TaeniaPhilippina,128,83,40,389
EthmoidalArtery,6134,5813,316,30232
FourthLumbricalOfFoot,6134,5813,316,30232
ScalenusMuscle,6134,5813,316,30232
RenalPelvicAndUretericBranches,6134,5813,316,30232
LimbicLobe,6136,5815,316,30239
Streptobacillus,110,65,40,303
Spasm,108,65,38,306
Osteomalacia,6252,5929,318,30711
DistalHeadOfProximalPhalanx,6134,5813,316,30232
ComponentOfMedullaOblongata,6134,5813,316,30232
KlebsiellaPneumoniae,238,149,84,714
IliacusMuscle,6134,5813,316,30232
PotassiumDeficiencyState,118,65,48,323
ColourLightening,14,9,0,27
FoetalScalp,6134,5813,316,30232
Hyperbilirubinaemia,6189,5860,324,30435
NAMEDMuscle,6134,5813,316,30232
LobeOfLiver,6134,5813,316,30232
PseudoephedrineHydrochloride,42,24,14,98
BoneGraftTissue,78,37,36,188
CalciumFolinate,93,48,40,241
clinicallyInsignificant,13,9,0,26
RightLowerFirstPremolar,6141,5820,316,30259
Giraffe,88,57,26,235
Synapse,6143,5822,316,30267
PossibilityState,15,11,0,33
SyndromeWithVenousInvolvement,6140,5819,316,30255
SchuchardtsMethod,33,18,10,71
Bentonite,41,23,14,95
SuperficialVeinOfLowerExtremity,6134,5813,316,30232
PeduncleOfLeftCerebralHemisphere,6134,5813,316,30232
FemaleGenitoUrinaryDisorder,6134,5813,316,30232
SagitalPlaneRotationProcess,17,12,0,36
ObstructionDueToAorticValveStenosis,6174,5851,318,30389
waterSoluble,17,13,0,39
LeukotrieneF4,34,20,10,78
YChromosome,33,19,10,76
ScaphoidTubercle,6134,5813,316,30232
WholeSkinOfThoracicRegionOfBack,6136,5815,316,30242
Calculus,47,27,16,123
lessThan5Percent,28,24,0,71
regionalAnaesthesia,15,11,0,33
InjectionSitePain,6237,5916,316,30655
ThyroidPain,6231,5910,316,30634
TendonOfThumb,6134,5813,316,30232
LeukotrieneE4,34,20,10,78
Between40and55years,78,33,40,194
LithiumSuccinate,47,29,14,117
Bus,33,19,10,76
BodyFallingBackwardSensation,6137,5816,316,30241
SkinOfLip,6142,5821,316,30265
veryHighActivityLevel,54,25,24,136
Antimony,30,16,10,66
Amputating,14,9,0,27
many,9,5,0,14
CephamycinChemical,61,24,32,137
Erythroblast,6135,5814,316,30235
SjogrensSyndrome,6223,5896,322,30583
ViralVaccine,84,49,30,222
BreastSelfExamination,6370,6037,328,31166
DeepDorsalVeinOfPenis,6134,5813,316,30232
Monosaccharide,32,18,10,72
RetrogradeRoute,123,66,52,330
SodiumSulphate,90,45,40,231
LoweredBloodSugarConcentration,6208,5877,326,30508
NonTraumaticRhabdomyolysis,6136,5815,316,30239
Acidosis,6211,5878,328,30511
AbnormalDryness,50,23,22,124
DigitalNerveSupplyingPalmarAspectOfRadialBorderOfThumb,6134,5813,316,30232
GiantPigmentedNaevus,6155,5826,324,30297
T1root,6134,5813,316,30232
operable,16,12,0,36
LingualSurfaceOfPosteriorTooth,6167,5844,318,30380
LabialSalivaryGland,6134,5813,316,30232
PheniramineMaleate,41,23,14,95
Prolactostatin,6134,5813,316,30232
mediumPlateauPhase,17,13,0,39
PostcentralGyrus,6134,5813,316,30232
HallucinatoryState,49,28,16,134
Fluvastatin,41,23,14,95
PathologicalHypoNatraemia,6209,5876,328,30509
VaginalPenetration,33,18,10,72
PolyvinylAlcohol,31,17,10,69
MedialPlantarVein,6134,5813,316,30232
PetrousApexOfMastoid,6134,5813,316,30232
SinusCongestion,6168,5837,326,30347
Carfecillin,75,34,36,177
IntercostalArtery,6134,5813,316,30232
CurveLesion,85,48,32,243
BismuthSubcarbonate,78,37,36,196
MetacarpoPhalangealJoint,6134,5813,316,30232
OestrogenReceptor,32,18,10,72
PathologicalAccumulation,114,61,48,330
discrete,12,8,0,23
NodularRash,6168,5843,320,30359
VascularDiseaseProcess,6134,5813,316,30232
InsulinReceptor,32,18,10,72
Lymphoblastosis,6167,5836,326,30343
Extended6hrDrugReleasing,79,40,34,206
SuperficialEpigastricVein,6134,5813,316,30232
Derealisation,177,116,56,531
ComponentOfPenis,6134,5813,316,30232
InferiorVesicalVein,6134,5813,316,30232
TartaricAcid,41,23,14,95
Hypoxanthine,32,18,10,72
BiochemicalTest,85,40,40,213
PlasmodiumBerghei,137,86,46,420
BrittleNail,97,48,44,256
Lithotrypsy,74,39,30,198
RecurrentDepression,251,164,82,762
Betaxolol,41,23,14,95
InternalAuditoryMeatus,6134,5813,316,30232
LobeOfThyroidGland,6134,5813,316,30232
LevelOfSpecification,9,5,0,14
PhysicallySupporting,13,8,0,24
mass,12,8,0,23
SurgicalInteriorising,33,18,10,72
OroticAcid,41,23,14,95
ErysipelothrixRhusiopathiae,111,66,40,306
SegmentOfShaftOfPenis,122,65,52,346
Tizanidine,41,23,14,95
InternalRegionOfSolid,46,18,24,105
InferiorRadioUlnarJoint,6134,5813,316,30232
Breaking,14,9,0,27
Rhabditoidea,122,77,40,371
ImplantableBloodPumpDevice,6145,5822,318,30271
RenovascularFibrosis,6160,5839,316,30336
XRayMachine,65,32,28,159
Ceftazidime,78,37,36,188
SerumMagnesiumConcentration,6179,5852,322,30397
BloodGroupBAntigen,72,39,28,180
Fluidising,14,9,0,27
SkinOfLeg,6134,5813,316,30232
MinorVisualDisturbance,6136,5815,316,30238
Astigmata,123,78,40,373
Chill,6306,5973,328,30917
Trisomy6Syndrome,47,26,16,123
LowBiochemicalMeasurement,6149,5822,322,30278
ShoulderPain,6231,5910,316,30634
UrethralStructure,6134,5813,316,30232
GlycopeptideGroup,31,17,10,70
DistalPhalanxOfFourthToe,6134,5813,316,30232
NAMEDGenitalTractBodyPart,48,30,14,124
DigitalArtery,6134,5813,316,30232
SecondGenerationCephalosporinChemicalAsDrug,76,35,36,181
ClostridiumBotulinum,198,109,84,560
Aconite,80,49,26,210
Wasp,82,51,26,219
NAMEDBodyPart,40,24,12,99
HayFever,6381,6048,328,31215
RenalNonPelvis,194,119,70,585
DentalProsthesis,6141,5818,318,30252
HypertrophicCardiomyopathy,6266,5933,328,30738
Gramstaining,14,9,0,27
youngestChildChildhildhoodStatus,13,9,0,26
CarbohydrateSugar,31,17,10,69
ConjunctivalEpithelium,6134,5813,316,30232
SecondBranchialArch,289,182,102,887
SignSymptomOrDiagnosis,22,8,10,37
OccipitalLobeSubarachnoidSpace,6134,5813,316,30232
StartingProcess,12,7,0,21
EarPathology,6134,5813,316,30232
BronchopulmonaryPathology,6134,5813,316,30232
InnerSurfaceOfAbdominalWall,6134,5813,316,30232
ChloralDerivative,31,17,10,69
CiliaryGland,88,49,34,237
Methylprednisolone,77,36,36,186
LumpSymptom,208,139,64,619
VincaalkaloidChemical,60,23,32,134
SymptomOfNeck,6134,5813,316,30232
IronDextran,90,45,40,229
BoneResorption,6141,5820,316,30259
BedOfRingFingerNail,6134,5813,316,30232
AdenomaOfColon,6233,5906,322,30622
FaecalIncontinenceSymptom,6134,5813,316,30232
CalciumLactateGluconate,91,46,40,237
WhiteCommissureOfSpinalCord,6134,5813,316,30232
CavityOfLeftHeartAtrium,6134,5813,316,30232
Child,115,70,40,313
Nympaeales,78,47,26,204
ScrotalWall,6134,5813,316,30232
PneumoVirus,76,45,26,199
Antibody,118,65,48,340
IntrathoracicPortionOfCommonCarotidArtery,6134,5813,316,30232
Diltiazem,41,23,14,95
PalmarLigament,6135,5814,316,30236
LiquidBasicDrugForm,59,24,30,136
FollitropinAlpha,6160,5839,316,30333
activeStage,17,13,0,39
VentricularDysrhythmia,6217,5894,318,30565
PosteriorMitralChordae,6134,5813,316,30232
InfusionPump,42,23,14,96
RinsingForDrugAdministration,119,58,56,306
ButterflyFracture,6182,5857,320,30409
NulliparousFemaleAdult,133,82,46,368
Phenindione,41,23,14,95
ArbitraryDiseaseStage,14,10,0,30
HotTemperature,47,20,22,110
AddictiveBehaviour,85,44,36,234
RightAuricularAppendage,6134,5813,316,30232
PsychologicalSystem,15,10,0,30
Climbing,6136,5815,316,30239
Cestodaria,123,78,40,374
SessamoidBone,6134,5813,316,30232
EyePathology,6134,5813,316,30232
TibialTuberosity,6134,5813,316,30232
DorsalArteryOfClitoris,6134,5813,316,30232
ObturatorVein,6134,5813,316,30232
AntiglobulinTest,6211,5880,326,30538
LiverStructure,6134,5813,316,30232
AmsacrineLactate,60,33,22,147
LocalPain,6239,5916,318,30658
IntervertebralFacetJoint,6135,5814,316,30238
RenalInferiorSegmentalArtery,6134,5813,316,30232
GolgiBody,31,17,10,70
SecondLumbricalOfFoot,6134,5813,316,30232
SignificantBladderOutflowObstruction,50,29,16,129
ReplacementTherapy,11,6,0,18
Doctor,128,79,44,352
BasalGangliaDegeneration,6146,5825,316,30280
HepaticPlexus,6135,5814,316,30236
HornFly,81,50,26,217
PainfulCoughSymptom,6245,5924,316,30688
EthylNicotinate,41,23,14,95
SubduralHaemorrhage,6180,5859,316,30428
Distilling,14,9,0,27
Melena,6200,5877,318,30504
AntibioticDrug,155,86,64,416
ChoreiformMovement,6135,5814,316,30237
SalmonellaGroupX,238,149,84,714
SalmonellaGroupW,238,149,84,714
SalmonellaGroupV,238,149,84,714
TestosteronePropionate,85,44,36,216
VentralPancreaticDuct,6135,5814,316,30235
SalmonellaGroupU,238,149,84,714
ParaventricularNucleus,6135,5814,316,30235
RetinalDetachmentInAIDSPatientsWithRetinitis,6136,5815,316,30238
FrayedEdge,151,88,58,470
HistoryOfPrimaryLiverTumour,6187,5860,322,30437
SalmonellaGroupZ,238,149,84,714
SalmonellaGroupY,238,149,84,714
Shaving,14,9,0,27
ProximalHeadOfRadius,6134,5813,316,30232
AnteriorCruciateLigament,6134,5813,316,30232
ThermalCapacity,13,9,0,27
SkinRash,6162,5839,318,30340
AberrantSubclavianArtery,6134,5813,316,30232
HeartBeat,6217,5894,318,30565
DeepExternalPudendalArtery,6134,5813,316,30232
NonNormalBreathing,6256,5935,316,30726
PsoriasisDiscoidea,6174,5849,320,30383
BodyOfSacralVertebra,6134,5813,316,30232
IsopropylMyristate,41,23,14,95
Car,33,19,10,76
InferiorAngleOfScapula,6134,5813,316,30232
VasaPraevia,73,40,28,197
Cat,87,56,26,232
Hyperthermia,6212,5883,324,30541
ErythrocyteSedimentation,6138,5817,316,30248
NasopharyngealMucousMembrane,6134,5813,316,30232
IncomitantStrabismus,98,49,44,257
ClomocyclineSodium,90,45,40,231
AnteriorDeepTemporalArtery,6136,5815,316,30238
Bartonella,110,65,40,303
HaemorrhagicCystitis,6308,5987,316,30949
spherical,19,15,0,45
EyeballDisorder,6134,5813,316,30232
Bear,86,55,26,229
Oxazepam,74,33,36,174
Pseudomonas,241,150,86,722
LungOrBronchi,6134,5813,316,30232
Carbenoxolone,41,23,14,95
SupracoeliacAbdominalAorta,6134,5813,316,30232
PolyeneGroup,31,17,10,70
LeftLowerCentralIncisor,6141,5820,316,30259
AcuteGastricUlcer,6171,5848,318,30380
Fruit,58,32,22,138
CareGiver,95,60,30,252
EstriolAsDrug,88,47,36,227
SalmonellaGroupB,238,149,84,714
SalmonellaGroupA,238,149,84,714
Xamoterol,41,23,14,95
VisionExamination,6275,5954,316,30807
BaseOfSecondMetacarpal,6134,5813,316,30232
InferiorArticularFacetOfAxis,6134,5813,316,30232
ComponentOfEndocrinePancreas,6134,5813,316,30232
